Position	B.stacei	B.hybridumS	B.hybridumD	B.distachyon
16	2	0	0	0
35	1	0	0	0
44	1	0	0	0
147	1	0	0	0
160	1	0	0	0
165	1	0	0	0
172	1	0	0	0
262	1	0	0	0
268	2	0	0	0
285	1	0	0	0
291	1	0	0	0
297	1	0	0	0
299	1	0	0	0
306	2	0	0	0
311	1	0	0	0
318	1	0	0	0
326	1	0	0	0
327	1	0	0	0
333	1	0	0	0
348	2	0	0	0
350	1	0	0	0
369	1	0	0	0
372	2	0	0	0
383	1	0	0	0
384	2	0	0	1
385	1	0	0	0
399	1	0	0	0
402	1	0	0	0
407	1	0	0	0
408	1	0	0	0
409	2	0	0	0
419	2	0	0	0
441	2	0	0	0
448	2	0	0	0
451	1	0	0	0
462	1	0	0	0
474	2	0	0	0
504	1	0	0	0
520	1	0	0	0
526	3	0	0	2
527	1	0	0	0
530	2	0	0	0
531	1	0	0	0
534	1	1	0	0
545	1	0	0	0
561	1	0	0	0
566	1	0	0	0
570	1	0	0	0
576	1	0	0	0
578	1	0	0	0
582	1	0	0	0
591	3	0	0	0
597	1	0	0	0
603	4	0	0	0
627	1	0	0	0
629	1	0	0	0
650	3	0	0	0
654	2	0	0	0
657	2	0	0	0
659	2	0	0	0
661	1	0	0	0
662	1	0	0	0
663	2	0	0	0
665	2	0	0	1
666	2	0	0	0
667	6	0	0	0
668	3	0	0	0
669	1	0	0	0
670	1	0	0	0
683	5	0	0	0
684	1	0	0	0
693	2	0	0	0
697	1	0	0	0
703	1	0	0	0
706	8	29	0	0
709	4	0	0	0
714	1	0	0	0
716	5	0	0	0
717	1	0	0	0
723	1	0	0	0
727	1	0	0	0
728	1	0	0	1
729	5	0	0	0
730	4	0	0	0
738	2	0	0	0
739	1	0	0	1
740	1	2	0	0
743	1	0	0	0
747	4	0	0	0
761	1	0	0	0
788	1	0	0	0
793	1	0	0	0
807	2	0	0	0
808	2	0	0	0
813	1	0	0	0
815	1	0	0	0
823	1	0	0	0
827	1	0	0	0
846	3	0	0	0
859	1	0	0	0
861	2	0	0	0
862	2	0	0	0
864	2	0	0	0
865	1	0	0	0
870	1	0	0	0
902	5	0	0	0
904	2	0	0	0
918	1	0	0	0
933	1	0	0	0
951	1	0	0	0
962	1	0	0	0
966	1	0	0	0
970	1	0	0	0
973	1	0	0	0
977	1	0	0	0
996	1	0	0	0
1002	1	0	0	0
1005	1	0	0	0
1006	1	0	0	0
1023	1	0	0	0
1026	1	0	0	0
1027	4	0	0	2
1031	1	0	0	0
1042	1	0	0	0
1046	1	0	0	0
1047	1	0	0	0
1053	1	0	0	2
1064	1	0	0	0
1069	1	0	0	0
1073	3	0	0	0
1077	1	2	0	0
1102	1	0	0	0
1105	2	0	0	0
1112	5	0	0	0
1120	1	0	0	0
1129	4	0	0	0
1151	1	0	0	0
1153	2	0	0	0
1176	1	0	0	0
1179	2	0	0	0
1181	1	0	0	0
1184	2	0	0	0
1216	1	0	0	0
1229	1	0	0	0
1244	1	0	0	0
1252	1	0	0	0
1254	1	0	0	0
1255	2	0	0	0
1261	1	0	0	0
1262	5	0	0	0
1265	1	0	0	0
1268	2	0	0	0
1277	1	0	0	0
1279	2	0	0	0
1291	3	0	0	0
1299	2	0	0	0
1304	1	0	0	0
1319	1	0	0	0
1327	1	0	0	0
1344	1	11	0	0
1345	1	0	0	0
1350	2	0	0	0
1357	1	0	0	0
1358	1	0	0	0
1359	1	1	0	0
1361	1	0	0	0
1363	4	0	0	0
1367	1	0	0	1
1373	3	1	0	0
1375	1	0	0	0
1381	1	0	0	0
1383	2	0	0	0
1388	1	0	0	0
1389	1	0	0	0
1392	2	0	0	0
1411	2	0	0	0
1419	1	0	0	0
1430	1	0	0	0
1433	1	0	0	0
1439	1	0	0	0
1440	1	0	0	0
1446	1	0	0	0
1448	1	0	0	0
1451	1	0	0	0
1459	1	0	0	0
1460	2	0	0	1
1469	1	0	0	0
1474	1	0	0	1
1487	1	0	0	0
1489	1	0	0	0
1494	1	0	0	0
1503	1	0	0	0
1507	1	0	0	0
1514	1	0	0	0
1518	1	0	0	0
1519	2	0	0	0
1523	2	0	0	0
1524	1	0	0	0
1526	1	0	0	0
1528	1	0	0	0
1532	3	0	0	0
1541	2	0	0	0
1542	1	0	0	0
1543	1	0	0	0
1545	1	0	0	0
1550	1	0	0	0
1553	1	0	0	0
1554	5	0	0	0
1572	5	0	0	0
1573	1	0	0	0
1574	3	0	0	0
1578	1	0	0	0
1580	2	0	0	0
1581	1	0	0	0
1587	2	0	0	0
1588	1	0	0	0
1591	3	0	0	0
1594	2	0	0	0
1596	1	0	0	0
1599	1	0	0	0
1609	1	0	0	0
1612	2	0	0	0
1614	2	0	0	0
1615	1	0	0	0
1618	5	0	0	0
1619	4	0	0	0
1627	1	0	0	0
1629	2	0	0	0
1631	2	0	0	0
1639	4	0	0	0
1641	2	0	0	0
1642	9	0	0	0
1643	1	0	0	0
1645	1	0	0	0
1646	1	0	0	0
1652	1	0	0	0
1653	3	0	1	0
1655	1	0	0	0
1656	1	0	0	0
1661	1	0	0	0
1664	3	0	0	0
1672	4	0	0	0
1677	5	0	0	0
1678	2	0	0	0
1679	3	0	0	0
1696	1	0	0	0
1700	1	0	0	0
1705	1	0	0	0
1717	1	0	0	0
1718	4	0	0	0
1719	7	0	0	0
1725	1	0	0	0
1727	1	0	0	0
1728	1	0	0	0
1734	1	0	0	0
1735	1	0	0	0
1739	4	0	0	0
1741	2	0	0	0
1742	3	0	0	0
1745	1	0	0	0
1762	2	0	0	0
1765	1	0	0	0
1774	1	0	0	0
1782	1	0	0	2
1791	1	0	0	0
1794	2	0	0	0
1799	1	0	0	0
1802	1	0	0	0
1804	1	3	0	0
1806	1	2	0	0
1813	1	0	0	0
1817	2	0	0	0
1838	1	0	0	0
1842	1	0	0	0
1851	1	0	0	0
1852	1	0	0	0
1853	1	0	0	0
1857	2	0	0	0
1864	1	0	0	0
1875	1	0	0	0
1890	1	0	0	0
1891	2	0	0	0
1893	2	0	0	0
1894	6	0	0	0
1896	1	0	0	0
1897	5	0	0	0
1898	1	0	0	0
1902	1	0	0	0
1915	1	0	0	0
1925	1	0	0	0
1930	1	0	0	0
1961	1	0	0	0
1964	2	0	0	0
1970	1	0	0	0
1984	2	0	0	0
1989	1	0	0	0
1990	2	3	0	0
1991	1	17	0	0
1999	1	0	0	0
2003	1	0	0	0
2006	1	0	0	0
2012	3	0	0	0
2013	1	2	0	0
2015	1	0	0	0
2017	1	0	0	0
